TestImage_name,Pred_Label,y_min,x_min,y_max,x_max,Correct (Y/N),Section to shift,Patch_Offset,Section/Segment Flag,EI_CLASS,EI_DATA,Machine,ELFHeader_Size,EntryPoint_Address,ProgramHeader_Offset,ProgramHeader_EntrySize,Numof_ProgramHeaders,SectionHeader_Offset,SectionHeader_EntrySize,Numof_SectionHeaders
ubiformat.png,1,0,96,32,128,N,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x115a8,52.0,32.0,5.0,0x162f8,0x28,0xe
fsck.cramfs.png,0,0,128,32,160,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x10968,52.0,32.0,5.0,0x1422c,0x28,0xe
pfc.png,0,160,96,192,128,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x10418,52.0,32.0,5.0,0x505b4,0x28,0x10
iodined.png,0,0,160,32,192,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x1147c,52.0,32.0,5.0,0x282b8,0x28,0xe
attal-scenario-editor.png,0,160,128,192,160,Y,.text,57412.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x16b8c,52.0,32.0,8.0,0x36440,0x28,0x1d
pivot_root.png,0,0,160,32,192,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x102a4,52.0,32.0,5.0,0x821c,0x28,0xe
git-get-tar-commit-id.png,0,0,128,32,160,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x110c8,52.0,32.0,5.0,0x1f006c,0x28,0xe
s6-dnsip4-filter.png,1,0,128,32,160,N,.text,192.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x10194,52.0,32.0,4.0,0xb134,0x28,0xd
choom.png,0,0,128,32,160,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x104fc,52.0,32.0,5.0,0x11220,0x28,0xe
dhcrelay.png,0,64,160,96,192,Y,.text,224.0,Section,ELFCLASS32,ELFDATA2LSB,EM_ARM,52.0,0x1336c,52.0,32.0,5.0,0xf7538,0x28,0xe
